,City,City Number,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,1015776,Bredasdorp,-34.53,20.04,42.8,93,0,3.36,ZA,1597105730
1,mataura,6201424,Mataura,-46.19,168.86,52,74,73,10,NZ,1597105730
2,port macquarie,2152659,Port Macquarie,-31.43,152.92,61,73,68,1.99,AU,1597105730
3,ancud,3899695,Ancud,-41.87,-73.82,42.01,93,20,4.7,CL,1597105730
4,san patricio,3985168,San Patricio,19.22,-104.7,86,74,75,11.41,MX,1597105730
5,busselton,2075265,Busselton,-33.65,115.33,55.99,95,66,15.84,AU,1597105731
6,pevek,2122090,Pevek,69.7,170.31,37.74,95,100,13.47,RU,1597105631
7,coquimbo,3893629,Coquimbo,-29.95,-71.34,53.6,87,100,3.36,CL,1597105725
8,sitka,5557293,Sitka,57.05,-135.33,55.4,82,90,10.29,US,1597105731
9,butaritari,2110227,Butaritari,3.07,172.79,82.11,77,90,11.68,KI,1597105731
10,provideniya,4031574,Provideniya,64.38,-173.3,53.6,76,90,11.18,RU,1597105732
11,grand-santi,3381538,Grand-Santi,4.25,-54.38,74.26,96,100,3.8,GF,1597105732
12,illoqqortoormiut,,,,,,,,,,
13,cape town,3369157,Cape Town,-33.93,18.42,57.99,87,20,11.41,ZA,1597105732
14,ulaanbaatar,2028462,Ulaanbaatar,47.91,106.88,51.8,76,75,1.05,MN,1597105636
15,port elizabeth,964420,Port Elizabeth,-33.92,25.57,51.8,76,0,4.7,ZA,1597105732
16,grand gaube,934479,Grand Gaube,-20.01,57.66,60.8,87,75,6.93,MU,1597105733
17,hobart,2163355,Hobart,-42.88,147.33,44.6,65,20,9.17,AU,1597105733
18,fort-shevchenko,609906,Fort-Shevchenko,44.51,50.26,74.39,57,0,7.43,KZ,1597105733
19,aklavik,5882953,Aklavik,68.22,-135.01,53.6,71,90,6.93,CA,1597105733
20,kelo,2430506,Kelo,9.31,15.81,72.3,90,81,2.26,TD,1597105733
21,ahipara,2194098,Ahipara,-35.17,173.17,61.3,91,100,14.85,NZ,1597105734
22,luderitz,3355672,Lüderitz,-26.65,15.16,50,93,0,8.05,NA,1597105734
23,luan,2659977,Luan,46.36,6.98,66.2,88,81,2.24,CH,1597105734
24,camacha,2270385,Camacha,33.08,-16.33,71.6,78,20,9.17,PT,1597105734
25,hithadhoo,1282256,Hithadhoo,-0.6,73.08,81.95,79,100,11.5,MV,1597105734
26,sawtell,2150163,Sawtell,-30.38,153.1,63,59,90,14.99,AU,1597105734
27,tabuk,1684803,Tabuk,17.42,121.44,79.39,81,100,3.27,PH,1597105735
28,orkney,967476,Orkney,-26.98,26.67,45,51,0,2.84,ZA,1597105735
29,vincennes,6613142,Vincennes,48.85,2.43,81,57,65,2.24,FR,1597105735
30,jamestown,5122534,Jamestown,42.1,-79.24,82,65,1,5.82,US,1597105593
31,puerto ayora,3652764,Puerto Ayora,-0.74,-90.35,69.01,89,72,7.92,EC,1597105735
32,amderma,,,,,,,,,,
33,tasiilaq,3424607,Tasiilaq,65.61,-37.64,39.2,93,100,18.34,GL,1597105736
34,nowy dwor mazowiecki,763556,Nowy Dwór Mazowiecki,52.43,20.72,68,88,68,4.7,PL,1597105736
35,punta arenas,3874787,Punta Arenas,-53.15,-70.92,32,90,50,8.05,CL,1597105736
36,ushuaia,3833367,Ushuaia,-54.8,-68.3,32,92,40,13.87,AR,1597105736
37,hilo,5855927,Hilo,19.73,-155.09,80.6,69,90,4.7,US,1597105737
38,vanimo,2084442,Vanimo,-2.67,141.3,84.63,66,81,4.29,PG,1597105737
39,barrow,5880054,Barrow,71.29,-156.79,42.8,87,90,10.29,US,1597105454
40,satuk,737723,Satuk,41.23,32.38,61.3,86,2,1.68,TR,1597105737
41,vila velha,3445026,Vila Velha,-20.33,-40.29,69.8,83,75,4.7,BR,1597105737
42,vaini,4032243,Vaini,-21.2,-175.2,77,73,40,9.17,TO,1597105737
43,katy,4702732,Katy,29.79,-95.82,91,62,1,12.75,US,1597105322
44,tripoli,2210247,Tripoli,32.88,13.19,78.82,73,0,10.07,LY,1597105738
45,ponta do sol,2264557,Ponta do Sol,32.67,-17.1,73.4,64,20,11.41,PT,1597105738
46,yellowknife,6185377,Yellowknife,62.46,-114.35,62.6,88,90,3.36,CA,1597105738
47,honiara,2108502,Honiara,-9.43,159.95,82.4,78,75,4.7,SB,1597105738
48,tiksi,2015306,Tiksi,71.69,128.87,41.52,74,54,11.86,RU,1597105739
49,turukhansk,1488903,Turukhansk,65.82,87.98,59.49,73,0,4.68,RU,1597105739
50,puerto escondido,3520994,Puerto Escondido,15.85,-97.07,84.2,66,90,3.27,MX,1597105739
51,lebu,3883457,Lebu,-37.62,-73.65,45.14,71,0,11.7,CL,1597105739
52,skalistyy,,,,,,,,,,
53,vaxjo,2663536,Vaxjo,56.88,14.81,57.2,93,50,3.36,SE,1597105740
54,mys shmidta,,,,,,,,,,
55,kiama,2161515,Kiama,-34.68,150.87,57.99,79,21,4,AU,1597105740
56,atuona,4020109,Atuona,-9.8,-139.03,79.3,67,0,18.32,PF,1597105740
57,taolanaro,,,,,,,,,,
58,arraial do cabo,3471451,Arraial do Cabo,-22.97,-42.03,71.4,82,4,24.72,BR,1597105740
59,sangmelima,2222230,Sangmélima,2.93,11.98,66.18,98,97,4.27,CM,1597105741
60,albany,5106841,Albany,42.6,-73.97,75,66,19,3.74,US,1597105556
61,cidreira,3466165,Cidreira,-30.18,-50.21,67.1,73,0,4.76,BR,1597105741
62,chateaubelair,3577933,Chateaubelair,13.28,-61.25,82.4,83,75,13.87,VC,1597105741
63,mokrousovo,1498511,Mokrousovo,55.81,66.77,57.81,95,27,4.45,RU,1597105742
64,veraval,1253237,Verāval,20.9,70.37,81.59,85,97,16.31,IN,1597105742
65,dwarka,1272140,Dwārka,22.24,68.97,82.94,84,100,15.86,IN,1597105742
66,donegal,2964752,Donegal,54.65,-8.12,56.77,91,84,3.89,IE,1597105742
67,tumannyy,,,,,,,,,,
68,rocha,3440777,Rocha,-34.48,-54.33,53.47,61,69,14.58,UY,1597105742
69,khatanga,2022572,Khatanga,71.97,102.5,48.02,64,0,5.55,RU,1597105743
70,lethem,3379316,Lethem,3.38,-59.8,78.08,84,100,5.64,GY,1597105743
71,margherita,1263532,Margherita,27.28,95.68,78.8,94,90,6.93,IN,1597105743
72,kodinar,1266397,Kodīnar,20.79,70.7,80.89,86,90,15.17,IN,1597105743
73,kayerkan,1497337,Kayerkan,69.35,87.76,50,100,90,2.24,RU,1597105743
74,rikitea,4030556,Rikitea,-23.12,-134.97,70.05,71,43,22.75,PF,1597105744
75,hofn,2630299,Hofn,64.25,-15.21,52.75,96,93,9.37,IS,1597105744
76,rumboci,3191426,Rumboci,43.83,17.5,69.8,73,0,3.36,BA,1597105744
77,kapaa,5848280,Kapaa,22.08,-159.32,84.2,66,75,14.99,US,1597105744
78,inverness,2646088,Inverness,57.48,-4.22,57.99,93,98,1.52,GB,1597105745
79,constantine,2501152,Constantine,36.37,6.61,73.4,53,28,4.7,DZ,1597105745
80,tabiauea,,,,,,,,,,
81,collie,2074113,Collie,-33.37,116.15,55.99,95,48,8.1,AU,1597105745
82,port alfred,964432,Port Alfred,-33.59,26.89,56.23,77,0,9.08,ZA,1597105745
83,manta,3654410,Manta,-0.95,-80.73,73.4,78,20,8.05,EC,1597105746
84,grand river south east,,,,,,,,,,
85,abu zabad,380348,Abū Zabad,12.35,29.25,75.42,79,100,10.25,SD,1597105746
86,lompoc,5367788,Lompoc,34.64,-120.46,68,68,1,12.75,US,1597105534
87,jinxiang,1916249,Jinxiang,22.86,115.7,83.55,78,100,9.86,CN,1597105746
88,quatre cocos,1106643,Quatre Cocos,-20.21,57.76,60.8,87,75,6.93,MU,1597105746
89,longyearbyen,2729907,Longyearbyen,78.22,15.64,48.2,76,75,8.05,SJ,1597105747
90,port hedland,2063042,Port Hedland,-20.32,118.57,68,68,10,10.29,AU,1597105747
91,esperance,2071860,Esperance,-33.87,121.9,55.4,82,90,21.92,AU,1597105747
92,huarmey,3939168,Huarmey,-10.07,-78.15,60.6,83,3,7.25,PE,1597105747
93,grindavik,3416888,Grindavik,63.84,-22.43,51.8,100,90,18.34,IS,1597105748
94,gurupi,3461724,Gurupi,-11.73,-49.07,77.67,38,2,4.85,BR,1597105748
95,kjollefjord,779261,Kjøllefjord,70.95,27.35,50.04,86,97,15.82,NO,1597105748
96,hingatungan,1711635,Hingatungan,10.58,125.19,83.35,73,46,4.25,PH,1597105748
97,vaitupu,,,,,,,,,,
98,kupang,2057087,Kupang,-10.17,123.58,84.2,62,20,3.36,ID,1597105749
99,kavieng,2094342,Kavieng,-2.57,150.8,83.97,66,7,1.81,PG,1597105749
100,port lincoln,2063036,Port Lincoln,-34.73,135.87,55.81,76,96,20.69,AU,1597105749
101,yar-sale,1486321,Yar-Sale,66.83,70.83,51.91,97,99,5.5,RU,1597105749
102,new norfolk,2155415,New Norfolk,-42.78,147.06,41,86,2,1.01,AU,1597105749
103,pavilosta,456827,Pāvilosta,56.89,21.19,60.8,93,0,1.12,LV,1597105750
104,avarua,4035715,Avarua,-21.21,-159.78,73.4,64,14,9.17,CK,1597105750
105,katsuura,2112309,Katsuura,35.13,140.3,93.2,56,40,18.34,JP,1597105750
106,nyaunglebin,1303406,Nyaunglebin,17.95,96.73,76.73,92,100,4.16,MM,1597105750
107,tsihombe,,,,,,,,,,
108,belmonte,3470137,Belmonte,-15.86,-38.88,71.6,83,90,12.75,BR,1597105750
109,kotdwara,1266014,Kotdwāra,29.75,78.53,77,94,75,3.36,IN,1597105751
110,constitucion,3893726,Constitución,-35.33,-72.42,47.23,58,6,16.8,CL,1597105751
111,chuy,3443061,Chui,-33.7,-53.46,55.2,85,93,11.21,UY,1597105751
112,nanortalik,3421765,Nanortalik,60.14,-45.24,41.05,79,4,11.12,GL,1597105751
113,qaqortoq,3420846,Qaqortoq,60.72,-46.03,48.2,39,19,8.05,GL,1597105744
114,mar del plata,3430863,Mar del Plata,-38,-57.56,46.4,49,32,13.87,AR,1597105651
115,pagudpud,1696482,Pagudpud,18.56,120.79,80.6,83,75,4.7,PH,1597105752
116,marzuq,72181,Marzuq,14.4,46.47,85.17,26,100,4.5,YE,1597105752
117,cabo san lucas,3985710,Cabo San Lucas,22.89,-109.91,84.99,70,75,18.34,MX,1597105752
118,aykhal,2027296,Aykhal,66,111.5,51.8,100,90,6.71,RU,1597105752
119,kaitangata,2208248,Kaitangata,-46.28,169.85,55,47,64,15.99,NZ,1597105753
120,kashi,1280849,Kashgar,39.45,75.98,71.98,30,61,1.05,CN,1597105753
121,sindor,492860,Sindor,62.86,51.89,44.58,96,29,3.22,RU,1597105753
122,bluff,2206939,Bluff,-46.6,168.33,52,74,89,10,NZ,1597105753
123,xiongyue,2033630,Xiongyue,40.18,122.12,78.62,79,3,13.22,CN,1597105754
124,povenets,505820,Povenets,62.85,34.83,51.82,90,97,20.89,RU,1597105754
125,hermanus,3366880,Hermanus,-34.42,19.23,44.01,96,0,1.01,ZA,1597105754
126,bengkulu,1649150,Bengkulu,-3.8,102.27,76.28,90,57,3.67,ID,1597105754
127,fortuna,5563839,Fortuna,40.6,-124.16,69.01,80,7,5.01,US,1597105754
128,lagoa,3372964,Lagoa,39.05,-27.98,69.84,74,32,13.27,PT,1597105755
129,ayan,2027316,Ayan,56.45,138.17,55.8,90,100,23,RU,1597105755
130,zambezi,895953,Zambezi,-13.54,23.1,57.72,36,0,4.34,ZM,1597105755
131,chokurdakh,2126123,Chokurdakh,70.63,147.92,45.72,59,97,9.22,RU,1597105755
132,qianjiang,1786067,Qianjiang,30.42,112.89,80.01,90,56,6.06,CN,1597105755
133,sao joao da barra,3448903,São João da Barra,-21.64,-41.05,72.32,82,6,19.04,BR,1597105756
134,lavrentiya,4031637,Lavrentiya,65.58,-171,53.13,65,0,10.51,RU,1597105756
135,gardner,4937557,Gardner,42.58,-72,84.2,51,20,6.93,US,1597105756
136,pahrump,5509851,Pahrump,36.21,-115.98,102,7,0,3,US,1597105692
137,bacolod,1729564,Bacolod City,10.67,122.95,83.71,71,49,2.39,PH,1597105756
138,port blair,1259385,Port Blair,11.67,92.75,81.99,83,100,16.53,IN,1597105757
139,zhigansk,2012530,Zhigansk,66.77,123.37,45.93,65,80,12.55,RU,1597105757
140,santa rosa,1687894,Santa Rosa,14.31,121.11,82.99,83,100,3.87,PH,1597105757
141,bam,141736,Bam,29.11,58.36,83.08,18,52,7.96,IR,1597105757
142,attawapiskat,,,,,,,,,,
143,mongo,2427637,Mongo,12.18,18.69,73.35,85,86,3.42,TD,1597105758
144,cap malheureux,934649,Cap Malheureux,-19.98,57.61,60.8,87,75,6.93,MU,1597105758
