,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Bredasdorp,-34.53,20.04,42.8,93.0,0.0,3.36,ZA
1,Mataura,-46.19,168.86,52.0,74.0,73.0,10.0,NZ
2,Port Macquarie,-31.43,152.92,61.0,73.0,68.0,1.99,AU
3,Ancud,-41.87,-73.82,42.01,93.0,20.0,4.7,CL
4,San Patricio,19.22,-104.7,86.0,74.0,75.0,11.41,MX
5,Busselton,-33.65,115.33,55.99,95.0,66.0,15.84,AU
6,Pevek,69.7,170.31,37.74,95.0,100.0,13.47,RU
7,Coquimbo,-29.95,-71.34,53.6,87.0,100.0,3.36,CL
8,Sitka,57.05,-135.33,55.4,82.0,90.0,10.29,US
9,Butaritari,3.07,172.79,82.11,77.0,90.0,11.68,KI
10,Provideniya,64.38,-173.3,53.6,76.0,90.0,11.18,RU
11,Grand-Santi,4.25,-54.38,74.26,96.0,100.0,3.8,GF
13,Cape Town,-33.93,18.42,57.99,87.0,20.0,11.41,ZA
14,Ulaanbaatar,47.91,106.88,51.8,76.0,75.0,1.05,MN
15,Port Elizabeth,-33.92,25.57,51.8,76.0,0.0,4.7,ZA
16,Grand Gaube,-20.01,57.66,60.8,87.0,75.0,6.93,MU
17,Hobart,-42.88,147.33,44.6,65.0,20.0,9.17,AU
18,Fort-Shevchenko,44.51,50.26,74.39,57.0,0.0,7.43,KZ
19,Aklavik,68.22,-135.01,53.6,71.0,90.0,6.93,CA
20,Kelo,9.31,15.81,72.3,90.0,81.0,2.26,TD
21,Ahipara,-35.17,173.17,61.3,91.0,100.0,14.85,NZ
22,Lüderitz,-26.65,15.16,50.0,93.0,0.0,8.05,NA
23,Luan,46.36,6.98,66.2,88.0,81.0,2.24,CH
24,Camacha,33.08,-16.33,71.6,78.0,20.0,9.17,PT
25,Hithadhoo,-0.6,73.08,81.95,79.0,100.0,11.5,MV
26,Sawtell,-30.38,153.1,63.0,59.0,90.0,14.99,AU
27,Tabuk,17.42,121.44,79.39,81.0,100.0,3.27,PH
28,Orkney,-26.98,26.67,45.0,51.0,0.0,2.84,ZA
29,Vincennes,48.85,2.43,81.0,57.0,65.0,2.24,FR
30,Jamestown,42.1,-79.24,82.0,65.0,1.0,5.82,US
31,Puerto Ayora,-0.74,-90.35,69.01,89.0,72.0,7.92,EC
33,Tasiilaq,65.61,-37.64,39.2,93.0,100.0,18.34,GL
34,Nowy Dwór Mazowiecki,52.43,20.72,68.0,88.0,68.0,4.7,PL
35,Punta Arenas,-53.15,-70.92,32.0,90.0,50.0,8.05,CL
36,Ushuaia,-54.8,-68.3,32.0,92.0,40.0,13.87,AR
37,Hilo,19.73,-155.09,80.6,69.0,90.0,4.7,US
38,Vanimo,-2.67,141.3,84.63,66.0,81.0,4.29,PG
39,Barrow,71.29,-156.79,42.8,87.0,90.0,10.29,US
40,Satuk,41.23,32.38,61.3,86.0,2.0,1.68,TR
41,Vila Velha,-20.33,-40.29,69.8,83.0,75.0,4.7,BR
42,Vaini,-21.2,-175.2,77.0,73.0,40.0,9.17,TO
43,Katy,29.79,-95.82,91.0,62.0,1.0,12.75,US
44,Tripoli,32.88,13.19,78.82,73.0,0.0,10.07,LY
45,Ponta do Sol,32.67,-17.1,73.4,64.0,20.0,11.41,PT
46,Yellowknife,62.46,-114.35,62.6,88.0,90.0,3.36,CA
47,Honiara,-9.43,159.95,82.4,78.0,75.0,4.7,SB
48,Tiksi,71.69,128.87,41.52,74.0,54.0,11.86,RU
49,Turukhansk,65.82,87.98,59.49,73.0,0.0,4.68,RU
50,Puerto Escondido,15.85,-97.07,84.2,66.0,90.0,3.27,MX
51,Lebu,-37.62,-73.65,45.14,71.0,0.0,11.7,CL
53,Vaxjo,56.88,14.81,57.2,93.0,50.0,3.36,SE
55,Kiama,-34.68,150.87,57.99,79.0,21.0,4.0,AU
56,Atuona,-9.8,-139.03,79.3,67.0,0.0,18.32,PF
58,Arraial do Cabo,-22.97,-42.03,71.4,82.0,4.0,24.72,BR
59,Sangmélima,2.93,11.98,66.18,98.0,97.0,4.27,CM
60,Albany,42.6,-73.97,75.0,66.0,19.0,3.74,US
61,Cidreira,-30.18,-50.21,67.1,73.0,0.0,4.76,BR
62,Chateaubelair,13.28,-61.25,82.4,83.0,75.0,13.87,VC
63,Mokrousovo,55.81,66.77,57.81,95.0,27.0,4.45,RU
64,Verāval,20.9,70.37,81.59,85.0,97.0,16.31,IN
